"PID","DAY","ANX1","ANX2","ANX3","ANX4","ANX5","ANX6","RUM1","RUM2","RUM3","LON1","LON2","LON3","LON4","LON5","LON6"
"DISS-3001",1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
"DISS-3001",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3001",3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"DISS-3001",4,1,1,3,2,2,3,1,1,1,1,1,1,1,1,1
"DISS-3001",5,1,2,2,2,2,3,1,1,1,3,1,1,3,2,2
"DISS-3001",6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3001",7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3002",1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1
"DISS-3002",2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1
"DISS-3002",3,1,2,1,2,2,3,1,1,1,1,1,1,1,1,1
"DISS-3002",4,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1
"DISS-3002",5,2,3,1,2,2,3,1,1,1,1,1,1,1,1,1
"DISS-3002",6,2,3,1,2,2,3,1,1,1,1,1,1,1,1,1
"DISS-3002",7,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1
"DISS-3003",1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3003",2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3003",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3003",4,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3003",5,1,3,2,1,1,1,2,1,1,1,1,1,1,1,1
"DISS-3003",6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3003",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3004",1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"DISS-3004",2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1
"DISS-3004",3,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1
"DISS-3004",4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3004",5,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1
"DISS-3004",6,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
"DISS-3004",7,1,1,1,1,1,3,1,1,1,2,2,1,1,2,1
"DISS-3005",1,3,1,1,3,3,1,7,7,7,1,1,1,1,1,1
"DISS-3005",2,1,2,2,1,1,2,4,4,4,2,1,1,2,1,1
"DISS-3005",3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"DISS-3005",4,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1
"DISS-3005",5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"DISS-3005",6,2,1,1,2,1,2,4,4,4,2,1,1,2,1,1
"DISS-3005",7,2,1,1,1,1,1,3,3,3,2,1,1,1,1,1
"DISS-3006",1,2,1,1,2,2,2,3,3,3,2,1,1,1,1,1
"DISS-3006",2,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1
"DISS-3006",3,2,1,1,2,2,1,4,4,4,1,1,1,1,1,1
"DISS-3006",4,3,1,1,2,2,1,5,4,5,1,1,1,1,1,1
"DISS-3006",5,2,2,1,2,2,2,4,3,4,2,1,1,1,1,1
"DISS-3006",6,2,2,2,2,2,2,4,4,4,2,1,1,1,1,1
"DISS-3006",7,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1
"DISS-3007",1,4,1,1,4,3,1,3,2,2,2,1,1,1,1,1
"DISS-3007",2,4,1,1,4,3,1,1,1,1,1,1,1,1,1,1
"DISS-3007",3,4,1,1,4,4,1,1,1,1,2,1,1,1,1,1
"DISS-3007",4,3,2,1,3,3,1,5,5,1,1,1,1,1,1,1
"DISS-3007",5,3,2,1,4,3,2,1,1,1,1,1,1,1,1,1
"DISS-3007",6,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1
"DISS-3007",7,2,2,3,3,4,2,4,6,1,1,1,1,1,1,1
"DISS-3008",1,2,1,2,2,3,4,5,5,5,2,2,2,2,2,2
"DISS-3008",2,1,1,1,1,1,1,4,5,4,1,1,1,1,1,1
"DISS-3008",3,2,2,2,2,2,2,5,5,5,1,1,2,1,1,1
"DISS-3008",4,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3
"DISS-3008",5,2,2,2,2,3,3,2,2,2,1,1,1,2,2,2
"DISS-3008",6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"DISS-3008",7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"DISS-3009",1,3,3,2,3,2,2,6,3,5,3,3,5,3,3,4
"DISS-3009",2,3,3,3,3,3,1,1,1,2,2,2,1,1,1,1
"DISS-3009",3,2,4,4,2,2,3,2,1,4,3,2,1,1,2,5
"DISS-3009",4,3,3,3,3,3,4,1,1,1,2,3,5,2,3,4
"DISS-3009",5,3,2,1,3,3,2,1,1,1,2,1,3,1,1,1
"DISS-3009",6,2,2,1,2,2,2,1,1,2,1,2,3,1,1,2
"DISS-3009",7,3,1,1,3,3,2,1,1,1,1,1,1,1,1,1
"DISS-3010",1,2,2,2,2,2,1,7,7,7,2,1,2,1,2,1
"DISS-3010",2,3,2,1,3,3,2,3,3,3,1,1,1,1,1,1
"DISS-3010",3,2,1,1,2,2,1,4,4,4,1,1,1,1,1,1
"DISS-3010",4,3,2,1,2,2,2,2,2,2,1,1,2,1,1,1
"DISS-3010",5,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1
"DISS-3010",6,3,1,1,2,2,1,2,3,2,1,1,1,1,1,1
"DISS-3010",7,2,1,2,2,2,1,3,2,2,2,2,2,2,2,2
"DISS-3011",1,1,3,2,1,1,2,5,6,5,1,1,1,1,1,1
"DISS-3011",2,2,3,1,2,1,2,3,4,5,1,2,1,1,1,1
"DISS-3011",3,3,3,1,2,2,4,6,5,5,2,1,2,1,1,1
"DISS-3011",4,1,4,2,2,2,3,7,7,7,1,1,3,3,1,1
"DISS-3011",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3011",6,2,2,2,2,3,4,5,7,7,1,1,3,2,1,1
"DISS-3011",7,2,2,1,2,3,2,3,5,3,1,1,1,2,1,1
"DISS-3012",1,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1
"DISS-3012",2,2,2,2,2,2,2,4,3,4,2,2,2,2,2,2
"DISS-3012",3,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2
"DISS-3012",4,1,2,2,2,2,2,3,3,2,2,2,2,2,2,2
"DISS-3012",5,1,2,2,2,2,2,5,5,5,2,2,2,2,2,2
"DISS-3012",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3012",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3013",1,3,1,1,3,3,1,7,7,7,1,1,1,1,1,1
"DISS-3013",2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1
"DISS-3013",3,3,1,1,3,3,1,4,1,4,1,1,1,1,1,1
