"sample","n1","m1","sd1","n2","m2","sd2","country","var"
1,38,2.65,6.38,41,0.46,4.76,"A","A"
1,38,3.91,6.42,41,0.22,4.89,"A","B"
1,38,2.53,6.37,41,1.93,4.85,"A","C"
2,92,2.36,3.07,98,-0.16,2.88,"A","A"
2,92,2.03,3.07,98,-0.7,2.79,"A","B"
2,92,2.56,3.03,98,-1.47,2.88,"A","C"
3,63,3.02,4.33,55,1.09,2.27,"C","A"
3,63,4.35,4.24,55,0.66,2.27,"C","B"
3,63,1.95,4.27,55,0.99,2.16,"C","C"
4,25,2.88,10,17,0.0899999999999999,15,"C","A"
4,25,4.15,9.99,17,-0.56,14.91,"C","B"
4,25,2.08,10.1,17,2.46,14.98,"C","C"
5,58,2.98,3.58,54,0.87,4.91,"B","A"
5,58,3.39,3.5,54,1.6,4.97,"B","B"
5,58,1.87,3.63,54,1.76,5.06,"B","C"
6,67,3.03,2.2,70,-0.53,3.64,"B","A"
6,67,1.49,2.22,70,0.62,3.65,"B","B"
6,67,4.61,2.19,70,-0.78,3.76,"B","C"
7,38,2.68,3.29,30,0.43,8.25,"C","A"
7,38,1.75,3.15,30,1.42,8.22,"C","B"
7,38,4.18,3.31,30,-0.44,8.1,"C","C"
8,83,3.36,2.77,91,0.02,2.17,"C","A"
8,83,3.07,2.81,91,-0.41,2.32,"C","B"
8,83,3.62,2.7,91,0.6,2.18,"C","C"
9,75,3.58,3.6,76,1.29,1.68,"A","A"
9,75,3.57,3.62,76,2.53,1.7,"A","B"
9,75,2.35,3.58,76,1.28,1.76,"A","C"
10,45,3.5,4.17,51,1.49,5.93,"C","A"
10,45,5.9,4.18,51,1.21,6.03,"C","B"
10,45,3.5,4.28,51,1.12,5.77,"C","C"
11,78,2.79,2.05,76,0.28,2.8,"A","A"
11,78,3.55,2.05,76,2.04,2.88,"A","B"
11,78,4.3,2.05,76,0.6,2.94,"A","C"
12,98,3.87,2.73,105,1.11,2.12,"B","A"
12,98,3.07,2.76,105,1.67,2.04,"B","B"
12,98,3.39,2.75,105,0.62,2.07,"B","C"
13,31,2.86,6.29,37,1.2,5.81,"A","A"
13,31,1.71,6.23,37,0.75,5.75,"A","B"
13,31,3.66,6.49,37,3.86,5.84,"A","C"
14,97,3.88,1.88,104,0.85,2.91,"C","A"
14,97,3.59,1.87,104,0.02,2.91,"C","B"
14,97,2.91,1.81,104,2.53,2.89,"C","C"
15,61,3.28,3.73,65,1.34,4.04,"C","A"
15,61,2.98,3.8,65,0.17,3.93,"C","B"
15,61,3.97,3.83,65,2.12,4.2,"C","C"
16,61,2.77,3.98,57,0.1,5.26,"A","A"
16,61,2.36,4.09,57,-0.97,5.32,"A","B"
16,61,1.81,4.16,57,0.81,5.11,"A","C"
17,58,2.58,5.39,62,-0.17,4.92,"C","A"
17,58,2.83,5.4,62,-1.73,4.79,"C","B"
17,58,1.35,5.28,62,-0.71,4.91,"C","C"
18,68,2.42,3.24,77,-0.15,2.47,"A","A"
18,68,1.53,3.23,77,1.01,2.63,"A","B"
18,68,1.46,3.24,77,0.74,2.36,"A","C"
19,57,2.72,3.2,65,0.0300000000000002,3.46,"B","A"
19,57,3.16,3.11,65,0.86,3.41,"B","B"
19,57,1.85,3.16,65,-0.32,3.5,"B","C"
20,59,2.22,4.32,69,-0.38,2.32,"C","A"
20,59,0.98,4.18,69,-0.61,2.49,"C","B"
20,59,1.31,4.27,69,-1.39,2.54,"C","C"
21,94,3.58,2.37,99,1.61,2.68,"A","A"
21,94,3.36,2.29,99,1.88,2.64,"A","B"
21,94,4.32,2.27,99,3.49,2.53,"A","C"
22,98,3.42,2.14,106,1.32,2.05,"C","A"
22,98,3.8,2.27,106,0.94,1.95,"C","B"
22,98,3.49,2.05,106,0.39,2.04,"C","C"
23,66,2.89,3.48,59,0.95,4.7,"C","A"
23,66,3.02,3.56,59,3.39,4.7,"C","B"
23,66,2.57,3.61,59,0.66,4.69,"C","C"
24,62,3.13,2.02,53,-0.16,2.59,"A","A"
24,62,3.93,2,53,-0.96,2.59,"A","B"
24,62,2.04,2.08,53,-0.77,2.74,"A","C"
25,44,2.81,4.43,49,-0.44,2.7,"A","A"
25,44,2.75,4.39,49,-0.49,2.53,"A","B"
25,44,1.79,4.51,49,-1.39,2.6,"A","C"
26,52,4.22,3.41,42,1.59,5,"A","A"
26,52,4.72,3.37,42,1.84,5.11,"A","B"
26,52,3.45,3.57,42,2.19,5.05,"A","C"
27,44,2.6,6.76,45,0.72,5.89,"A","A"
27,44,3.69,6.86,45,1.34,5.78,"A","B"
27,44,1.48,6.72,45,-0.8,6.06,"A","C"
28,68,2.97,2.83,64,0.47,4.69,"A","A"
28,68,2.28,2.8,64,0.3,4.72,"A","B"
28,68,2.52,2.91,64,0.26,4.66,"A","C"
29,94,3.13,2.29,92,-0.13,2.01,"C","A"
29,94,1.85,2.42,92,-2.35,2.06,"C","B"
29,94,3.6,2.28,92,-0.7,1.94,"C","C"
30,64,3.31,4.3,66,1.05,3.03,"C","A"
30,64,3.36,4.36,66,-0.21,3.04,"C","B"
30,64,2.13,4.25,66,-0.34,3.01,"C","C"
