sample_id,year,sample_size,corr_nfcwb
1,2009,30,0.41
2,2017,192,0.1
3,2016,1026,0.23
4,2006,192,0.14
5,2016,194,0.52
6,2017,202,-0.08
6,2017,202,0.34
7,2012,150,-0.24
8,2001,85,-0.34
9,2001,320,0.05
10,2012,275,0.11
10,2012,275,0.15
10,2012,275,-0.06
10,2012,275,-0.1
11,2012,326,-0.05
11,2012,326,0.13
12,2012,316,-0.02
12,2012,316,0.05
12,2012,316,0.04
13,2001,263,-0.15
13,2001,263,-0.15
13,2001,263,-0.13
14,2020,212,0.43
15,2019,210,0.34
16,2015,60,-0.5
17,2012,163,0.09
18,2020,1070,0.16
19,2020,1075,-0.1
20,2019,496,0.05
21,2007,60,-0.07
22,1995,306,-0.21
23,2016,392,0.23
24,2010,436,0.18
24,2010,436,0.14
25,2019,210,0.05
26,2004,157,0.62
27,2008,207,0.1
28,2003,96,0.48
28,2003,96,0.25
28,2003,96,0.62
28,2003,96,0.17
28,2003,96,0.33
28,2003,96,0.34
29,2008,703,-0.12
30,2016,973,0.21
31,2019,182,0.09
31,2019,182,0.23
32,2008,1142,0
33,1986,81,-0.25
34,2003,274,0.23
35,2019,188,-0.12
35,2019,188,0.34
35,2019,188,0.15
36,2009,351,0.19
37,2010,154,0.52
37,2010,154,-0.22
38,2020,415,0.24
39,2020,282,0.06
39,2020,282,0.15
40,2009,784,-0.2
41,2021,4354,0.14
42,2001,112,-0.12
42,2001,112,-0.21
42,2001,112,-0.09
42,2001,112,0.38
43,2008,99,-0.13
43,2008,98,0.13
44,2019,1008,0.09
45,2012,8615,0.37
45,2012,8615,0.28
45,2012,8615,0.33
45,2012,8615,0.4
46,2019,1116,-0.23
47,2018,602,0.25
47,2018,598,0.27
47,2018,601,0.47
47,2018,601,0.14
47,2018,597,0.28
47,2018,599,0.15
48,2021a,261,0
48,2021a,261,-0.14
48,2021a,261,0.33
48,2021a,261,0.25
48,2021a,261,0.5
48,2021a,261,0.41
48,2021a,261,0.42
48,2021a,261,0.14
48,2021a,261,0.36
48,2021a,261,0.24
48,2021a,261,0.14
48,2021a,261,-0.24
49,2021b,253,0.22
49,2021b,253,-0.02
49,2021b,253,0.36
49,2021b,253,0.34
49,2021b,253,0.35
49,2021b,253,0.39
49,2021b,253,0.3
49,2021b,253,0.47
49,2021b,253,0.18
49,2021b,253,0.07
49,2021b,253,0.09
49,2021b,253,0.2
49,2021b,253,-0.24
49,2021b,253,0.07
50,2021,185,0.07
51,2008,6802,0.09
52,2019,310,0.25
