"sample","n1","m1","sd1","n2","m2","sd2"
1,38,5.07,2.05,37,0.54,1.97
1,38,5.76,2.1,37,0.17,1.92
2,92,3.01,0.67,97,-0.84,0.61
2,92,2.05,0.66,97,-0.52,0.7
3,63,5.62,1.13,73,1.43,1.59
3,63,4.39,1.15,73,0.94,1.59
4,25,4.94,3.08,26,0.81,3.12
4,25,3.98,3.01,26,3.47,3.01
5,58,4.84,1.67,54,1.11,1.63
5,58,3.97,1.65,54,2.79,1.61
6,67,3.53,1.22,77,-1.07,1.12
6,67,2.62,1.33,77,-0.29,1.27
7,38,4.52,2.47,35,-0.0600000000000005,1.74
7,38,5.26,2.47,35,0.65,1.86
8,83,5.42,0.84,73,1.07,0.86
8,83,5.49,0.86,73,0.53,0.71
9,75,6.36,1.07,83,1.57,0.78
9,75,6.04,1.27,83,2.46,0.79
10,45,4.9,1.47,37,0.62,1.73
10,45,3.81,1.4,37,0.27,1.81
11,78,5.39,1.56,78,2.03,0.65
11,78,4.37,1.66,78,1.02,0.49
12,98,4.95,0.99,88,1.24,1.3
12,98,4.18,1.17,88,3.12,1.44
13,31,3.62,3.65,34,0.23,3.41
13,31,2.5,3.54,34,-0.7,3.36
14,97,4.59,1.12,92,0.83,1.33
14,97,4.14,1.12,92,0.54,1.36
15,61,4.61,1.64,70,0.92,0.94
15,61,5.08,1.6,70,0.31,0.92
16,61,4.94,1.36,59,0.920000000000001,0.92
16,61,3.76,1.31,59,-0.03,1.08
17,58,6.1,1.02,52,2.56,1.73
17,58,7.57,0.92,52,3.16,1.58
18,68,5.76,0.74,71,1.68,1.13
18,68,4.45,0.65,71,0.16,1.12
19,57,4.84,1.61,63,1.17,1.92
19,57,4.74,1.74,63,0.96,1.81
20,59,4.75,1.83,51,-0.13,1.67
20,59,7.12,1.89,51,-0.7,1.71
21,94,5.7,0.8,86,1.34,1.14
21,94,6.59,0.88,86,-0.05,1.36
22,98,5.56,0.65,94,1.1,0.96
22,98,5.31,0.81,94,1.03,0.81
23,66,4.31,1.62,69,0.119999999999999,1.13
23,66,3.44,1.58,69,-0.31,1.12
24,62,4.29,1.26,54,-0.55,2.09
24,62,4.87,1.34,54,-1.14,2.08
25,44,5.36,1.66,52,1.68,0.96
25,44,5.35,1.65,52,2.66,1.11
