"id","sex","major","haveCat","haveDog","heightCM","yearsInUni","extraversion","optimism","gratitude","foodPreference","spicyTolerance","ladderRank","fomo","conflictAvoidance","happiness","stress","tiktokLiking","chatgptLiking","memeKnowledge","cognitiveAbility"
1,"M","PSYC","Yes","No",176,4,5,3,3,"Koufu",4,4,5,3,4,6,3,2,4,5
2,"F","POSC","No","No",160,4,4,3,6,"Koufu",3,3,4,5,5,4,4,4,4,5
3,"F","SOCG","No","No",159,4,4,2,7,"Connexion",3,3,1,4,4,4,3,2,3,5
4,"F","PSYC","No","No",163,3,4,2,5,"Funan",3,4,3,5,3,5,4,3,4,4
5,"F","SOCG","No","Yes",170,2,4,5,3,"Connexion",3,5,5,4,4,4,3,5,3,2
6,"M","PSYC","No","No",171,4,4,3,4,"Koufu",2,6,5,5,4,4,3,4,3,4
7,"M","SOCG","No","Yes",169,2,5,5,3,"Connexion",3,7,5,3,4,4,4,4,4,4
8,"M","PSYC","Yes","No",171,3,4,4,4,"Connexion",4,6,4,4,5,4,4,5,4,3
9,"F","PSYC","No","No",155,2,3,3,5,"Koufu",3,2,3,5,4,4,4,3,4,5
10,"F","PSYC","No","No",154,2,3,4,5,"Connexion",3,5,3,5,4,3,3,4,3,4
11,"M","PSYC","No","No",179,1,4,6,4,"Connexion",3,8,3,4,6,1,4,4,4,5
12,"M","SOCG","No","Yes",182,4,6,5,4,"Koufu",2,7,5,5,6,4,3,5,3,3
13,"F","POSC","No","No",168,2,3,5,5,"Funan",3,5,4,5,5,4,4,5,4,3
14,"M","POSC","No","No",185,5,6,4,4,"Funan",5,5,3,2,5,6,1,3,2,3
15,"F","POSC","No","Yes",162,2,4,4,5,"Connexion",2,6,4,6,5,4,2,4,2,2
16,"F","SOCG","No","No",160,2,4,4,4,"Funan",4,5,3,4,4,4,3,2,3,5
17,"F","SOCG","Yes","No",165,2,3,4,5,"Koufu",3,4,4,4,3,4,4,4,4,4
18,"F","PSYC","No","No",160,1,3,5,5,"Funan",5,4,4,4,3,2,4,3,4,5
19,"M","POSC","No","No",171,3,5,5,3,"Connexion",3,7,5,4,4,4,5,5,5,4
20,"F","PSYC","No","No",162,3,4,4,6,"Connexion",4,4,3,4,4,4,3,3,3,4
21,"F","PSYC","No","Yes",162,3,4,4,4,"Koufu",3,5,3,5,4,4,4,2,4,6
