"PID","X1","X2","M1","M2","Y1","Y2"
1,0,-2,0,-1,-2,-1
2,1,0,1,0,-1,3
3,2,1,1,0,0,3
4,2,0,1,-1,-1,1
5,0,-2,0,-3,-1,-2
6,-2,-1,-1,-1,-1,-1
7,0,-2,0,-1,-1,-4
8,1,-1,1,-1,1,0
9,2,3,1,1,2,3
10,-1,-1,0,-1,0,-1
11,-2,-1,-1,0,-3,-1
12,-2,-3,-1,0,-1,0
13,0,-1,0,-1,-1,3
14,0,-2,0,-2,0,-1
15,0,0,0,0,0,0
16,0,0,0,1,-1,0
17,0,-1,0,-2,-1,1
18,0,0,0,-1,0,1
19,0,-3,0,-2,0,-1
20,-1,-2,0,-1,-3,0
21,1,-1,0,1,-1,1
22,0,0,0,-1,2,2
23,1,2,1,0,0,2
24,0,0,0,-1,1,-1
25,-1,0,0,-1,-1,-1
26,1,1,0,1,0,-2
27,1,-2,0,-2,0,1
28,-1,-2,0,-1,0,1
29,0,0,0,-1,1,1
30,-1,1,0,0,-1,0
31,1,-1,1,1,-1,1
32,0,-1,1,0,-1,1
33,-1,-3,-1,0,-4,1
34,3,1,2,-1,2,-1
35,1,2,1,0,1,-1
36,2,0,1,0,2,1
37,1,-1,1,-1,0,2
38,3,1,2,0,3,1
39,0,0,0,-1,1,0
40,2,1,1,-1,0,1
41,1,1,1,-1,1,-1
42,0,-1,0,1,2,1
43,-1,-1,0,-1,-1,1
44,0,-1,1,1,0,1
45,-1,-3,0,-1,0,0
46,-2,-3,-1,-1,-2,-3
47,2,2,1,2,2,-1
48,-1,1,-1,-1,0,0
49,0,0,0,-1,-1,1
50,1,-1,0,-1,1,2
51,0,1,0,-1,-1,-1
52,2,2,1,0,2,1
53,-1,-1,-1,-2,-2,-1
54,2,-1,1,-2,1,1
55,0,1,0,0,0,-3
56,-1,0,0,0,0,3
57,1,0,1,1,1,0
58,-3,-2,-1,-1,-3,1
59,-2,-2,-1,-1,-2,0
60,-1,-1,0,-1,-1,-2
61,0,0,1,-1,-1,1
62,0,-3,0,-1,3,1
63,0,0,0,-1,0,1
64,-1,-1,0,0,-1,2
65,2,1,1,0,1,2
66,-2,-2,0,-1,-1,0
67,0,2,1,1,0,0
68,0,0,0,-1,0,-2
69,1,-1,1,-1,0,-1
70,-1,-1,0,0,-1,-1
71,1,-1,1,-1,0,1
72,0,-2,0,0,-1,1
73,0,0,0,0,1,1
74,2,1,1,1,1,-1
75,2,1,1,0,3,-1
76,1,0,0,1,1,0
77,2,0,1,-1,2,1
78,-3,-2,-1,-3,-2,0
79,-3,-1,-1,0,-4,-2
80,-2,-2,-1,-2,-1,-3
81,2,2,1,1,3,-1
82,3,0,2,-1,2,2
83,2,-1,0,-1,0,0
84,0,-1,0,-1,1,-1
85,1,-1,1,-1,1,1
86,1,0,0,-1,-1,1
87,0,0,1,-1,2,0
88,2,1,1,0,1,3
89,0,1,0,-1,-2,2
90,1,0,1,0,-1,0
91,-1,0,0,-1,0,-1
92,2,-2,1,-1,3,-1
93,-2,-3,0,0,1,-2
94,-1,1,0,-1,0,0
95,1,1,1,1,2,0
96,-1,-1,0,-2,1,-2
97,1,2,1,-1,1,-1
98,1,-1,2,-1,1,2
99,1,2,1,2,3,0
100,1,1,1,1,0,4
101,1,-1,0,-1,1,1
102,0,-1,0,-1,0,-2
103,1,-1,0,1,-2,0
104,-1,-1,0,-1,-1,-3
105,0,0,0,-1,0,-1
106,-3,-1,-1,-2,-2,-1
107,2,1,1,0,2,2
108,2,-1,1,1,2,-1
109,2,2,1,1,0,1
110,0,-2,1,-1,1,-3
111,-1,-2,0,-2,1,1
112,0,-1,1,-1,-1,3
113,-1,0,-1,1,-1,1
114,1,-3,1,-2,3,3
115,1,0,1,-1,1,-1
116,-1,-1,0,-1,1,-4
117,-1,0,0,-1,2,-2
118,1,1,1,0,1,1
119,0,-1,0,1,0,-1
120,0,-1,0,0,1,2
121,-1,-1,0,0,-1,-1
122,1,-2,1,-1,1,2
123,1,-1,1,-1,0,1
124,0,-1,0,1,-1,0
125,1,1,1,-1,1,2
126,3,0,1,1,1,0
127,0,-1,0,-1,1,1
128,-1,-1,-1,-3,-2,0
129,2,0,1,-1,0,1
130,1,1,0,0,-1,-2
131,-1,-1,0,1,1,-1
132,0,1,1,0,0,0
133,-1,0,-1,-1,-1,-1
134,-1,1,0,0,0,-1
135,-2,-2,0,-2,-1,1
136,0,0,0,-1,2,1
137,0,-1,0,-1,1,0
138,-2,0,-1,-2,-2,-1
139,0,0,0,2,0,0
140,-1,-1,0,0,0,0
141,0,1,0,1,2,-1
142,1,-1,1,-1,0,1
143,-2,-2,0,0,0,-1
144,-1,-1,0,0,1,1
145,-2,-1,0,-1,1,1
146,0,-1,0,-1,0,1
147,-2,-1,0,-1,-1,1
148,0,1,0,1,2,1
149,-1,-1,-1,-1,0,0
150,2,2,2,1,2,-2
151,-2,-2,0,-1,1,3
152,2,1,1,0,2,1
153,1,3,1,1,1,1
154,2,0,1,-1,-1,-1
155,-3,-1,-1,-1,-2,-1
156,-1,-1,0,-2,1,-1
157,1,0,1,0,0,0
158,-1,0,0,-1,-3,-1
159,1,0,1,0,1,0
160,1,0,0,2,0,-1
161,1,-2,0,-1,0,1
162,2,3,1,0,1,1
163,1,2,1,1,-1,-1
164,-1,0,0,-1,-1,2
165,1,-1,0,0,0,1
166,-2,0,0,0,-1,3
167,2,0,1,1,0,3
168,0,0,0,0,-1,-1
169,1,-2,1,-1,0,1
170,1,3,0,3,3,3
171,0,0,1,-1,1,-2
172,-1,0,0,0,0,0
173,-2,0,0,-1,1,0
174,0,-1,0,0,-1,-2
175,-1,1,0,1,0,-2
176,-3,-3,0,-2,-2,-1
177,-1,1,0,-1,-1,1
178,0,-2,0,0,1,0
179,-2,-3,-1,-2,-2,-1
180,1,0,1,-1,0,1
181,-1,0,0,0,1,-3
182,0,-1,0,0,2,0
183,1,1,0,-1,0,0
184,0,0,0,0,0,-1
185,0,-1,0,-1,1,-1
186,0,0,0,-1,-2,-2
187,0,0,0,1,-1,0
188,2,-1,1,0,2,0
189,0,1,0,0,1,-1
190,1,0,1,-1,0,1
191,0,1,0,0,-1,3
192,1,1,0,1,1,3
193,-1,-1,0,0,1,1
194,2,1,1,0,-2,3
195,2,1,1,0,1,3
196,-3,-1,-1,0,1,-2
197,1,0,1,0,1,2
198,0,-1,0,0,0,-3
199,-1,-2,0,-2,-2,-1
200,-2,-1,0,-3,-1,0
201,1,-1,1,-1,2,1
202,2,2,1,1,1,0
203,1,-1,1,-1,0,0
204,0,1,1,0,-1,0
205,1,2,0,-1,0,1
206,-2,-1,0,-1,-2,0
207,1,1,0,0,4,1
208,2,0,1,-1,3,2
209,1,0,1,0,2,-1
210,3,1,2,0,2,1
211,2,0,1,1,0,0
212,-1,-1,0,-2,2,2
213,-1,-1,0,-2,-2,0
214,2,2,1,0,1,0
215,-1,1,0,0,0,-1
216,-2,-1,-1,1,0,-2
217,2,0,1,1,3,-1
218,1,2,1,0,1,3
219,0,-2,0,-2,0,1
220,2,1,1,1,-2,-1
221,-1,0,0,0,-1,-1
222,2,1,1,0,2,0
223,0,-1,1,-1,3,-3
224,1,2,1,2,-1,0
225,-1,-1,0,-1,0,2
226,-1,-1,0,0,-1,-1
227,0,-1,0,0,2,1
228,1,0,0,-1,0,0
229,2,2,1,-1,1,0
230,-2,-2,-1,-1,-2,0
231,1,-1,1,0,1,3
232,-1,1,0,0,-2,0
233,1,1,1,1,0,-2
234,0,-2,0,-1,-1,1
235,0,-1,0,-1,0,2
236,3,2,1,1,1,1
237,0,-1,1,-1,2,2
238,1,-1,0,0,0,-1
239,1,-1,1,0,0,1
240,-1,-1,0,-1,-1,-1
241,-2,-1,0,-1,0,-1
242,3,2,2,1,4,2
243,1,0,0,1,0,-1
244,-4,-4,-1,-2,-3,-3
245,-2,-3,-1,-2,-3,-2
246,3,3,1,1,2,1
247,-2,0,0,1,-1,1
248,2,-1,1,-1,2,-2
249,2,-1,1,-1,2,-1
250,-3,-2,-1,-1,-3,0
251,0,0,0,-1,1,-3
252,-1,-1,0,-1,-2,0
253,3,2,1,0,3,0
254,0,1,0,0,1,2
255,-2,1,-1,1,1,0
256,2,-1,1,0,1,0
257,2,2,1,1,-1,1
258,0,0,0,-1,-2,-2
259,0,0,0,1,2,-4
260,1,0,0,0,0,2
261,1,1,1,0,0,-1
262,-2,-1,-1,1,-1,-2
263,2,2,1,1,1,1
264,1,1,1,0,-1,0
265,4,2,1,0,-1,2
266,-1,-2,0,0,-1,-1
267,1,0,1,-2,1,1
268,-2,-3,-1,-1,-1,-3
269,-1,-2,0,-2,-1,1
270,0,0,1,-2,0,1
271,1,2,0,1,1,0
272,1,-1,0,-1,2,3
273,0,-2,1,-3,2,-2
274,0,-1,0,-1,-2,2
275,0,1,0,0,0,0
276,2,0,1,0,1,0
277,2,1,1,1,3,-2
278,0,-1,0,0,3,-2
279,0,-2,0,-1,0,1
280,1,0,1,0,1,0
281,0,-1,0,-1,2,2
282,0,-1,0,-1,2,0
283,1,0,1,0,2,0
284,2,0,1,0,-2,1
285,1,1,1,2,-1,-1
286,0,1,0,0,0,-1
287,-1,0,0,0,2,-1
288,1,-1,1,-2,1,1
