"PID","i1","i2","i3","i4","i5","i6","i7","i8"
1,0,0,-1,3,-3,-1,0,-4
2,0,0,0,1,-1,0,0,-2
3,1,-1,2,2,3,0,0,0
4,1,0,0,-1,-2,0,1,-1
5,0,-3,1,5,1,0,0,-7
6,-2,-2,-1,-2,-3,-1,0,3
7,0,1,-1,-1,-1,-1,-4,1
8,0,3,2,0,0,0,0,1
9,0,3,0,-5,2,1,-1,3
10,-1,2,-2,-3,-3,-1,0,-6
11,-1,0,-2,-4,0,-1,-6,-3
12,-1,-7,0,-2,-5,-1,6,-6
13,0,-1,0,3,0,0,0,-1
14,0,0,0,1,-2,-1,-5,3
15,1,0,-1,-4,2,1,0,-3
16,-1,-1,0,0,2,-1,-7,-4
17,0,4,1,-2,-1,-1,1,-1
18,1,2,0,-4,-1,-1,-6,-1
19,0,2,0,-2,-2,-1,-3,-4
20,-1,-4,-1,-4,0,1,-1,-5
21,0,-4,1,-1,1,0,4,2
22,0,1,-1,-2,2,0,-2,0
23,0,-3,0,-3,1,2,3,-2
24,0,-4,1,1,1,0,3,0
25,0,1,-3,-1,1,0,-4,0
26,0,2,0,0,3,1,0,4
27,1,-1,1,-1,-3,-1,-4,-6
28,-1,-2,-1,-1,2,0,-3,3
29,0,-2,0,0,1,-1,2,1
30,0,2,-1,2,4,2,-3,3
31,0,-2,0,4,-2,0,2,-3
32,0,-1,1,1,-1,0,-2,-3
33,0,0,1,-2,-3,0,-2,-5
34,1,2,3,5,0,1,5,0
35,0,0,0,-3,1,1,2,1
36,1,1,0,1,-2,1,-3,-3
37,1,5,2,2,0,1,2,-4
38,2,1,4,5,2,0,-2,0
39,-1,-2,0,-1,-1,0,4,-6
40,0,3,1,6,-2,0,4,3
41,0,1,1,-1,2,1,2,0
42,0,4,0,-2,1,-1,1,-3
43,0,0,0,4,0,-1,-1,-3
44,0,2,1,2,0,0,-5,-5
45,0,4,-1,-2,-7,-1,2,-8
46,-1,-3,-2,-4,1,-2,-1,-1
47,1,4,1,3,3,0,-1,2
48,-1,-3,-2,-1,1,0,-1,-1
49,0,0,1,-3,-2,1,-3,6
50,1,-2,1,1,0,-1,-1,0
51,0,0,-1,1,0,1,-1,5
52,1,1,0,2,2,0,2,5
53,0,-4,-1,-4,0,0,-1,-1
54,1,-1,0,3,0,1,-5,-1
55,0,1,0,-3,2,1,0,3
56,-1,-2,-1,-2,0,-1,-3,5
57,0,-4,1,3,0,0,2,4
58,-1,-3,-2,-2,-1,0,-1,-2
59,-1,-1,-2,1,-2,0,3,-1
60,-1,-3,-1,5,-2,0,-1,4
61,-1,0,0,2,2,0,-5,-3
62,1,-1,1,2,-3,-1,-2,-3
63,0,2,-2,-3,0,0,3,-3
64,0,-1,0,2,1,0,0,2
65,1,2,1,1,0,0,2,1
66,-1,5,-1,-1,2,0,-1,-1
67,-1,2,0,0,0,1,2,6
68,0,-1,-2,-1,0,-1,1,0
69,1,0,1,6,1,0,-1,-4
70,-1,0,0,3,-1,0,-3,2
71,0,0,3,-1,-1,-1,-5,-4
72,1,3,2,0,-1,-1,-3,-5
73,0,1,1,-1,-1,-1,2,-1
74,1,2,1,-1,2,1,5,-2
75,1,2,2,3,-2,0,1,3
76,0,2,0,2,0,1,-4,-1
77,2,2,2,5,-3,-1,2,-1
78,-2,-2,-2,-5,-2,0,-4,1
79,-2,-2,-1,-1,4,0,-1,-4
80,-1,-6,-2,-1,-1,-1,0,0
81,1,-1,0,1,5,1,3,3
82,0,1,3,0,0,1,1,2
83,1,2,3,1,-2,-1,-2,2
84,0,2,2,4,-2,0,-3,3
85,0,1,0,2,1,-1,3,2
86,0,3,1,2,-1,0,-1,4
87,0,-2,1,-6,1,0,-4,1
88,1,1,1,2,0,1,1,0
89,0,-5,1,1,1,1,-1,1
90,0,3,-1,-2,-1,-1,0,1
91,-1,-2,-2,-2,-2,0,3,2
92,1,0,2,2,1,-1,-1,-3
